label,area,time,cm_lat,cm_lon,mean,stdev,median,min_value,min_lat,min_lon
38,3816767.681277861,1994-01-07,75,219,-1.8127238507549697,0.22155017630818405,-1.7697984,-2.63987,90,186
29,4373405.784879326,1994-01-08,79,172,-1.768299365534224,0.22187772304247674,-1.7089012,-2.9388175,22,48
4,3455948.157116095,1994-01-09,58,158,-1.79555021440559,0.22740476134090445,-1.7466751,-3.3399203,133,270
10,1963118.379018004,1994-01-10,40,121,-1.8359155383326748,0.23048798250451225,-1.7924933,-2.6614401,32,114
35,814562.017235642,1994-01-10,111,290,-1.8967628670440984,0.3596347386582125,-1.7947297,-3.470363,125,285
1,2149360.513215593,1994-01-11,39,141,-1.7281516241171246,0.15798103515420656,-1.7036855,-2.472269,31,109
1,1534817.3520313164,1994-01-12,25,120,-1.8775613489057252,0.2501909680185981,-1.8438566,-2.8028462,27,105
1,1962026.781628674,1994-01-13,39,148,-1.831873513546652,0.2500943972667658,-1.7799773,-2.810918,21,99
13,3561462.9069492593,1994-01-14,66,203,-1.9330439888830533,0.2785386131156772,-1.8951762,-2.8387587,104,267
3,6655001.595731765,1994-01-15,85,229,-2.0686746336468995,0.40659978915445066,-1.9885676,-3.5564454,111,249
30,6951088.869421374,1994-01-16,100,261,-2.2426432802086462,0.5510920916334585,-2.1633682,-4.234108,124,276
11,7699392.582325698,1994-01-17,93,274,-1.8512484752033993,0.2603898209970557,-1.8022207,-3.0258653,96,353
9,5863954.09036225,1994-01-18,101,235,-2.14427758347605,0.5064775089767343,-2.0232117,-4.1350718,113,251
20,7736992.277220924,1994-01-19,114,272,-2.3585351109548736,0.699904225813882,-2.17794,-4.7641215,134,269
1,7250133.165545139,1994-01-20,96,319,-2.091201512898649,0.40969538161622204,-2.0508611,-3.8066478,121,296
7,4234713.968473492,1994-01-21,84,338,-2.097788212526855,0.5233680756891217,-1.9253993,-4.0062656,124,288
15,1328381.4326492625,1994-01-22,53,398,-2.0168357286346774,0.46811944141207124,-1.8584139,-3.4446306,58,404
35,714736.0266140872,1994-01-22,145,280,-1.72224730392583,0.17889028957772657,-1.6700706,-2.8091297,124,289
37,1456077.4160119598,1994-01-23,94,334,-1.8616315042955085,0.2938491698632718,-1.8006773,-2.972511,91,360
16,2243033.495875029,1994-01-24,65,337,-1.8459950087281942,0.29796994718926506,-1.7641509,-3.195727,91,361
9,4428853.355012837,1994-01-25,66,308,-1.8331596586439345,0.22082830308952525,-1.7950861,-2.7675521,91,360
15,4559397.998224873,1994-01-26,82,331,-2.2654001594885393,0.490771222220522,-2.2610073,-4.4142756,91,361
